settlement,population_2015_01_01
Kőszegdoroszló,246
Kőszegpaty,204
Kőszegszerdahely,466
Kőszárhegy,1475
Kőtelek,1609
Kővágószőlős,1232
Kővágótöttös,316
Kővágóörs,783
Lad,572
Ladánybene,1564
Lajoskomárom,2226
Lajosmizse,11292
Lak,686
Lakhegy,457
Lakitelek,4411
Lakócsa,554
Lapáncsa,192
Laskod,962
Lasztonya,76
Legyesbénye,1504
Legénd,453
Lendvadedes,29
Lendvajakabfa,16
Lengyel,545
Lengyeltóti,3003
Lenti,7828
Lepsény,2975
Lesencefalu,302
Lesenceistvánd,947
Lesencetomaj,1119
Letenye,4157
Letkés,1127
Levelek,2950
Levél,1811
Leányfalu,3544
Leányvár,1714
Libickozma,28
Lickóvadamos,187
Liget,366
Ligetfalva,51
Lippó,479
Liptód,203
Lipót,716
Lispeszentadorján,283
Liszó,397
Litka,34
Litke,876
Litér,2168
Lothárd,221
Lovas,442
Lovasberény,2583
Lovászhetény,304
Lovászi,1194
Lovászpatona,1133
Lucfalva,614
Ludas,736
Ludányhalászi,1463
Lukácsháza,1086
Lulla,176
Lábatlan,4839
Lábod,1935
Lácacséke,311
Ládbesenyő,285
Lánycsók,2422
Lápafő,162
Látrány,1342
Lázi,558
Lébény,3232
Léh,401
Lénárddaróc,261
Létavértes,7061
Lócs,122
Lókút,398
Lónya,912
Lórév,290
Lövő,1403
Lövőpetri,477
Lúzsok,257
Lőkösháza,1804
Lőrinci,5557
Madaras,2862
Madocsa,1891
Maglóca,93
Maglód,11896
Magosliget,315
Magy,889
Magyaralmás,1546
Magyaratád,786
Magyarbánhegyes,2294
Magyarbóly,936
Magyarcsanád,1424
Magyardombegyház,237
Magyaregregy,726
Magyaregres,600
Magyarföld,37
Magyargencs,496
Magyargéc,895
Magyarhertelend,623
Magyarhomorog,922
Magyarkeresztúr,431
Magyarkeszi,1236
Magyarlak,776
Magyarlukafa,93
Magyarmecske,336
Magyarnádalja,199
Magyarnándor,1058
Magyarpolány,1175
Magyarsarlós,267
Magyarszecsőd,445
Magyarszentmiklós,248
Magyarszerdahely,509
Magyarszombatfa,249
Magyarszék,1020
Magyartelek,210
Majosháza,1538
Majs,952
Makkoshotyka,861
Maklár,2361
Makád,1150
Makó,22926
Malomsok,513
Marcalgergelyi,368
Marcali,11541
Marcaltő,727
Markaz,1789
Markotabödöge,474
Markóc,63
Maroslele,2025
Martfű,6305
Martonfa,202
Martonvásár,5540
Martonyi,412
Maráza,172
Maróc,69
Marócsa,90
Matty,319
Mecseknádasd,1497
Mecsekpölöske,376
Mecsér,586
Medgyesbodzás,1060
Medgyesegyháza,3558
Medina,806
Meggyeskovácsi,685
Megyaszó,2711
Megyehíd,320
Megyer,23
Mekényes,292
Mencshely,223
Mende,4109
Merenye,249
Mernye,1348
Mersevát,576
Mesterháza,149
Mesteri,270
Mesterszállás,702
Meszes,191
Meszlen,211
Mesztegnyő,1391
Mezőberény,10345
Mezőcsokonya,1183
Mezőcsát,5882
Meződ,129
Mezőfalva,4677
Mezőgyán,1058
Mezőhegyes,5339
Mezőhék,355
Mezőkeresztes,3818
Mezőkomárom,955
Mezőkovácsháza,6141
Mezőkövesd,16394
Mezőladány,1138
Mezőlak,983
Mezőnagymihály,1040
Mezőnyárád,1603
Mezőpeterd,599
Mezősas,665
Mezőszemere,1180
Mezőszentgyörgy,1305
Mezőszilas,2101
Mezőtárkány,1612
Mezőtúr,16675
Mezőzombor,2447
Mezőörs,943
Miháld,770
Mihályfa,352
Mihálygerge,568
Mihályháza,763
Mihályi,1020
Mike,614
Mikebuda,667
Mikekarácsonyfa,262
Mikepércs,4480
Miklósi,207
Mikosszéplak,305
Mikófalva,698
Mikóháza,512
Milejszeg,309
Milota,909
Mindszent,6777
Mindszentgodisa,856
Mindszentkálla,241
Misefa,270
Miske,1632
Miskolc,159554
Miszla,270
Mocsa,2126
Mogyoród,6438
Mogyorósbánya,832
Mogyoróska,83
Moha,586
Mohora,960
Mohács,17433
Molnaszecsőd,418
Molnári,713
Molvány,191
Monaj,243
Monok,1631
Monor,17853
Monorierdő,4081
Monostorapáti,1129
Monostorpályi,2136
Monoszló,107
Monyoród,158
Mosdós,931
Mosonmagyaróvár,32752
Mosonszentmiklós,2341
Mosonszolnok,1715
Mosonudvar,421
Mozsgó,1005
Mucsfa,363
Mucsi,436
Muhi,468
Murakeresztúr,1635
Murarátka,223
Muraszemenye,597
Murga,67
Murony,1200
Mád,2217
Mágocs,2348
Mályi,4016
Mályinka,447
Mánd,276
Mándok,4143
Mánfa,768
Mány,2440
Márfa,193
Máriahalom,601
Máriakálnok,1791
Máriakéménd,497
Márianosztra,843
Máriapócs,2153
Márkháza,255
Márkó,1214
Márok,415
Márokföld,47
Márokpapi,523
Mártély,1301
Mátraballa,754
Mátraderecske,1926
Mátramindszent,815
Mátranovák,1673
Mátraszele,920
Mátraszentimre,431
Mátraszőlős,1555
Mátraterenye,1873
Mátraverebély,1934
Mátyus,266
Mátyásdomb,771
Mátészalka,16902
Mátételke,475
Máza,1195
Méhkerék,2085
Méhtelek,759
Mélykút,4907
Méra,1727
Mérges,85
Mérk,2153
Mónosbél,358
Mór,14123
Mórahalom,5938
Móricgát,445
Mórichida,814
Mórágy,736
Múcsony,3081
Mőcsény,381
Nadap,541
Nagyacsád,600
Nagyalásony,456
Nagyar,677
Nagyatád,10623
Nagybajcs,977
Nagybajom,3288
Nagybakónak,392
Nagybaracska,2289
Nagybarca,939
Nagyberki,1457
Nagyberény,1305
Nagybudmér,174
Nagybánhegyes,1224
Nagybárkány,689
Nagybörzsöny,703
Nagycenk,2003
Nagycsepely,404
Nagycserkesz,1778
Nagycsány,151
Nagycsécs,799
Nagydobos,2222
Nagydobsza,621
Nagydorog,2576
Nagydém,355
Nagyecsed,6327
Nagyesztergár,1156
Nagyfüged,1615
Nagygeresd,284
Nagygyimót,552
Nagygörbő,159
Nagyhajmás,314
Nagyhalász,5676
Nagyharsány,1472
Nagyhegyes,2714
Nagyhuta,67
Nagyhódos,117
Nagyigmánd,2938
Nagyiván,1175
Nagykamarás,1383
Nagykanizsa,48241
Nagykapornak,921
Nagykarácsony,1300
Nagykereki,1375
Nagykeresztúr,249
Nagykinizs,331
Nagykorpád,576
Nagykovácsi,7255
Nagykozár,1961
Nagykutas,424
Nagykálló,9329
Nagykáta,12432
Nagykónyi,1099
Nagykökényes,589
Nagykölked,142
Nagykörű,1589
Nagykőrös,23694
Nagylak,476
Nagylengyel,482
Nagylóc,1532
Nagylók,1040
Nagylózs,1027
Nagymaros,4721
Nagymizdó,110
Nagymágocs,2985
Nagymányok,2275
Nagynyárád,724
Nagyoroszi,2118
Nagypall,363
Nagypeterd,630
Nagypirit,250
Nagypáli,496
Nagyrada,472
Nagyrozvágy,634
Nagyrábé,2136
Nagyrákos,267
Nagyrécse,1077
Nagyréde,3154
Nagyrév,655
Nagysimonyi,970
Nagyszakácsi,425
Nagyszekeres,550
Nagyszentjános,1791
Nagyszokoly,905
Nagyszékely,417
Nagyszénás,4979
Nagysáp,1444
Nagytarcsa,4090
Nagytevel,518
Nagytilaj,116
Nagytálya,851
Nagytótfalu,364
Nagytőke,410
Nagyvarsány,1454
Nagyvejke,161
Nagyveleg,656
Nagyvenyim,4024
Nagyvisnyó,913
Nagyváty,358
Nagyvázsony,1751
Nagyér,512
Nagyút,668
Nak,594
Napkor,3664
Narda,468
Naszály,2297
Nekézseny,752
Nemesapáti,523
Nemesbikk,954
Nemesborzova,106
Nemesbük,696
Nemesbőd,623
Nemescsó,279
Nemesdéd,741
Nemesgulács,899
Nemesgörzsöny,701
Nemeshany,395
Nemeshetés,259
Nemeske,224
Nemeskeresztúr,274
Nemeskisfalud,179
Nemeskocs,295
Nemeskolta,346
Nemeskér,215
Nemesládony,143
Nemesmedves,34
Nemesnádudvar,1828
Nemesnép,121
Nemespátró,274
Nemesrempehollós,295
Nemesrádó,283
Nemesszalók,888
Nemesszentandrás,263
Nemessándorháza,299
Nemesvid,732
Nemesvita,317
Nemesvámos,2693
Nemti,734
Neszmély,1269
Nick,481
Nikla,696
Noszlop,939
Noszvaj,1891
Nova,800
Novaj,1332
Novajidrány,1419
Nyalka,442
Nyergesújfalu,7402
Nyim,289
Nyirád,1895
Nyomár,308
Nyugotszenterzsébet,261
Nyáregyháza,3660
Nyárlőrinc,2336
Nyársapát,1928
Nyárád,926
Nyékládháza,4876
Nyésta,40
Nyíracsád,3800
Nyíradony,7768
Nyírbogdány,2840
Nyírbogát,3105
Nyírbátor,12259
Nyírbéltek,2949
Nyírcsaholy,2198
Nyírcsászári,1185
Nyírderzs,655
Nyíregyháza,118125
Nyírgelse,1112
Nyírgyulaj,2047
Nyíri,362
Nyíribrony,1104
Nyírjákó,873
Nyírkarász,2373
Nyírkáta,2009
Nyírkércs,804
Nyírlugos,2699
Nyírlövő,674
Nyírmada,4890
Nyírmeggyes,2610
Nyírmihálydi,2255
Nyírmártonfalva,2034
Nyírparasznya,986
Nyírpazony,3338
Nyírpilis,880
Nyírtass,2021
Nyírtelek,6555
Nyírtura,1759
Nyírtét,1044
Nyírvasvári,1964
Nyírábrány,3777
Nyúl,4307
Nyőgér,325
Nábrád,926
Nádasd,1308
Nádasdladány,1728
Nádudvar,8636
Nágocs,687
Nárai,1245
Négyes,235
Németbánya,94
Németfalu,181
Németkér,1719
Nézsa,1073
Nógrád,1395
Nógrádkövesd,687
Nógrádmarcal,498
Nógrádmegyer,1676
Nógrádsipek,700
Nógrádszakál,636
Nógrádsáp,811
Nóráp,207
Nőtincs,1038
Okorvölgy,72
Okorág,162
Okány,2563
Olasz,593
Olaszfa,370
Olaszfalu,1033
Olaszliszka,1684
Olcsva,695
Olcsvaapáti,306
Old,345
Oltárc,274
Onga,4746
Orbányosfa,122
Orci,559
Ordacsehi,766
Ordas,423
Orfalu,71
Orfű,1037
Orgovány,3368
Ormosbánya,1630
Ormándlak,111
Orosháza,28356
Oroszi,134
Oroszlány,18068
Oroszló,269
Orosztony,411
Ortaháza,110
Osli,875
Ostffyasszonyfa,776
Ostoros,2577
Oszkó,637
Oszlár,357
Osztopán,864
Ozmánbük,198
Ozora,1605
Pacsa,1630
Padár,120
Pakod,869
Paks,19305
Palkonya,282
Palotabozsok,870
Palotás,1588
Paloznak,428
Palé,91
Pamlény,41
Pamuk,257
Pankasz,445
Pannonhalma,3960
Panyola,606
Pap,1805
Papkeszi,1503
Papos,829
Parasznya,1128
Parád,2046
Parádsasvár,371
Paszab,1232
Pat,182
Patak,898
Patalom,327
Patapoklosi,359
Patca,60
Patosfa,231
Patvarc,680
Pecöl,804
Pellérd,2272
Penc,1524
Penyige,712
Penészlek,1037
Perbál,2030
Pere,340
Perecse,27
Pereked,148
Perenye,643
Peresznye,826
Pereszteg,1449
Perkupa,812
Perkáta,3876
Perőcsény,291
Peterd,196
Pethőhenye,424
Petneháza,1732
Petrikeresztúr,365
Petrivente,338
Pettend,153
Petőfibánya,2584
Petőfiszállás,1453
Petőháza,1036
Petőmihályfa,209
Piliny,602
Pilis,11489
Pilisborosjenő,3571
Piliscsaba,8053
Piliscsév,2338
Pilisjászfalu,1563
Pilismarót,1975
Pilisszentiván,4174
Pilisszentkereszt,2127
Pilisszentlászló,1156
Pilisszántó,2881
Pilisvörösvár,13895
Pincehely,2211
Pinkamindszent,156
Pinnye,321
Piricse,1834
Pirtó,926
Piskó,243
Pitvaros,1392
Pocsaj,2642
Pogány,1168
Pogányszentpéter,477
Polgár,7889
Polgárdi,6829
Polány,239
Pomáz,16624
Porcsalma,2743
Pornóapáti,416
Poroszló,2920
Porpác,132
Porrog,205
Porrogszentkirály,282
Porrogszentpál,75
Porva,422
Potony,195
Potyond,96
Prügy,2492
Pula,194
Pusztaapáti,20
Pusztaberki,124
Pusztacsalád,263
Pusztacsó,149
Pusztadobos,1535
Pusztaederics,180
Pusztafalu,179
Pusztaföldvár,1662
Pusztahencse,945
Pusztakovácsi,835
Pusztamagyaród,549
Pusztamiske,409
Pusztamonostor,1543
Pusztamérges,1124
Pusztaottlaka,474
Pusztaradvány,256
Pusztaszabolcs,5904
Pusztaszemes,336
Pusztaszentlászló,575
Pusztaszer,1407
Pusztavacs,1330
Pusztavám,2421
Pusztazámor,1153
Putnok,6718
Pácin,1395
Pácsony,293
Páhi,1227
Páka,1140
Pákozd,3057
Pálfa,1561
Pálfiszeg,165
Pálháza,1060
Páli,418
Pálmajor,349
Pálmonostora,1801
Pálosvörösmart,642
Pánd,1961
Pányok,59
Pápa,31190
Pápadereske,272
Pápakovácsi,582
Pápasalamon,357
Pápateszér,1168
Pápoc,272
Páprád,147
Pári,622
Pásztori,378
Pásztó,9312
Pátka,1662
Pátroha,2927
Páty,7075
Pátyod,663
Pázmánd,2157
Pázmándfalu,1010
Pécel,15358
Pécs,145985
Pécsbagota,99
Pécsdevecser,112
Pécsely,538
Pécsudvard,759
Pécsvárad,4026
Pély,1359
Pénzesgyőr,337
Pér,2373
Péterhida,147
Péteri,2183
Pétervására,2172
Pétfürdő,4745
Pócsa,171
Pócsmegyer,2021
Pócspetri,1674
Pókaszepetk,909
Pórszombat,287
Pósfa,268
Pölöske,831
Pölöskefő,358
Pörböly,539
Pördefölde,59
Pötréte,233
Püski,653
Püspökhatvan,1445
Püspökladány,14605
Püspökmolnári,848
Püspökszilágy,726
Radostyán,601
Ragály,643
Rajka,2607
Rakaca,819
Rakacaszend,356
Rakamaz,4374
Ramocsa,43
Ramocsaháza,1517
Raposka,224
Ravazd,1200
Recsk,2673
Regenye,168
Regéc,76
Regöly,1156
Remeteszőlős,806
Resznek,287
Rezi,1168
Ricse,1769
Rigyác,385
Rigács,183
Rimóc,1844
Rinyabesenyő,217
Rinyakovácsi,175
Rinyaszentkirály,389
Rinyaújlak,261
Rinyaújnép,55
Rohod,1235
Romhány,2040
Romonya,496
Románd,313
Rozsály,809
Rudabánya,2502
Rudolftelep,711
Rum,1206
Ruzsa,2439
Rábacsanak,485
Rábacsécsény,576
Rábagyarmat,793
Rábahídvég,1022
Rábakecöl,649
Rábapatona,2500
Rábapaty,1617
Rábapordány,1023
Rábasebes,54
Rábaszentandrás,479
Rábaszentmihály,485
Rábaszentmiklós,140
Rábatamási,934
Rábatöttös,219
Rábcakapi,160
Rácalmás,4572
Ráckeresztúr,3251
Ráckeve,9960
Rád,1940
Rádfalva,190
Rádóckölked,292
Ráksi,419
Rákóczibánya,668
Rákóczifalva,5307
Rákócziújfalu,1971
Rápolt,136
Rásonysápberencs,569
Rátka,957
Rátót,291
Réde,1356
Rédics,881
Rém,1275
Répcelak,2625
Répceszemere,286
Répceszentgyörgy,103
Répcevis,328
Répáshuta,424
Rétalap,554
Rétközberencs,1057
Rétság,2713
Révfülöp,1174
Révleányvár,435
Rózsafa,333
Rózsaszentmárton,1883
Röjtökmuzsaj,437
Rönök,409
Röszke,3169
Sajtoskál,360
Sajóbábony,2786
Sajóecseg,1040
Sajógalgóc,334
Sajóhídvég,1109
Sajóivánka,603
Sajókaza,3116
Sajókeresztúr,1483
Sajókápolna,408
Sajólád,2811
Sajólászlófalva,425
Sajómercse,209
Sajónémeti,517
Sajópetri,1387
Sajópálfala,728
Sajópüspöki,471
Sajósenye,429
Sajószentpéter,11679
Sajószöged,2182
Sajóvelezd,791
Sajóvámos,2122
Sajóörös,1293
Salföld,80
Salgótarján,35811
Salköveskút,464
Salomvár,615
Sand,386
Sarkad,9911
Sarkadkeresztúr,1509
Sarród,1032
Sarud,1184
Segesd,2502
Sellye,2614
Selyeb,461
Semjén,493
Semjénháza,606
Seregélyes,4342
Serényfalva,983
Siklós,9248
Siklósbodony,140
Siklósnagyfalu,442
Sikátor,307
Sima,31
Simaság,537
Simonfa,345
Simontornya,4051
Sirok,1814
Sitke,675
Sióagárd,1239
Siófok,25386
Siójut,628
Sobor,250
Sokorópátka,1102
Solt,6361
Soltszentimre,1215
Soltvadkert,7484
Solymár,10065
Som,691
Somberek,1358
Somlójenő,291
Somlószőlős,671
Somlóvecse,66
Somlóvásárhely,1108
Somodor,383
Somogyacsa,174
Somogyapáti,483
Somogyaracs,191
Somogyaszaló,733
Somogybabod,457
Somogybükkösd,74
Somogycsicsó,156
Somogydöröcske,129
Somogyegres,186
Somogyfajsz,555
Somogygeszti,467
Somogyhatvan,343
Somogyhárságy,404
Somogyjád,1588
Somogymeggyes,491
Somogysimonyi,88
Somogyszentpál,802
Somogyszil,766
Somogyszob,1563
Somogysámson,731
Somogysárd,1197
Somogytúr,454
Somogyudvarhely,1005
Somogyviszló,234
Somogyvámos,769
Somogyvár,1756
Somogyzsitfa,584
Somoskőújfalu,2227
Sonkád,808
Soponya,1824
Sopron,61780
Sopronhorpács,848
Sopronkövesd,1249
Sopronnémeti,297
Sorkifalud,655
Sorkikápolna,233
Sormás,847
Sorokpolány,839
Sukoró,1402
Sumony,427
Surd,600
Szabadbattyán,4518
Szabadegyháza,2085
Szabadhídvég,852
Szabadi,267
Szabadkígyós,2434
Szabadszentkirály,755
Szabadszállás,6148
Szabolcs,413
Szabolcsbáka,1162
Szabolcsveresmart,1690
Szabás,622
Szada,4918
Szajk,808
Szajla,548
Szajol,3722
Szakadát,205
Szakcs,853
Szakmár,1194
Szaknyér,49
Szakoly,2743
Szakony,408
Szakonyfalu,351
Szakácsi,182
Szakáld,459
Szakály,1352
Szalafő,184
Szalapa,197
Szalaszend,1064
Szalatnak,288
Szalkszentmárton,2787
Szalmatercs,403
Szalonna,1163
Szalánta,1125
Szamosangyalos,460
Szamosbecs,378
Szamoskér,400
Szamosszeg,1946
Szamossályi,747
Szamostatárfalva,309
Szamosújlak,361
Szanda,634
Szank,2395
Szany,2024
Szaporca,231
Szarvas,16275
Szarvasgede,378
Szarvaskend,199
Szarvaskő,325
Szatmárcseke,1553
Szatta,76
Szatymaz,4675
Szava,327
Szebény,314
Szederkény,1775
Szedres,2220
Szeged,162593
Szegerdő,219
Szeghalom,9078
Szegi,265
Szegilong,210
Szegvár,4385
Szekszárd,33032
Szeleste,654
Szelevény,1086
Szellő,137
Szemely,411
Szemenye,320
Szemere,384
Szendehely,1535
Szendrő,4260
Szendrőlád,2059
Szenna,772
Szenta,380
Szentantalfa,432
Szentbalázs,315
Szentborbás,103
Szentbékkálla,174
Szentdomonkos,406
Szentdénes,280
Szente,322
Szentegát,371
Szentendre,25542
Szentes,27898
Szentgotthárd,8867
Szentgyörgyvár,305
Szentgyörgyvölgy,401
Szentgál,2713
Szentgáloskér,520
Szentimrefalva,195
Szentistván,2429
Szentistvánbaksa,263
Szentjakabfa,111
Szentkatalin,88
Szentkirály,1884
Szentkirályszabadja,1845
Szentkozmadombja,71
Szentliszló,266
Szentlászló,775
Szentlőrinc,6465
Szentlőrinckáta,1903
Szentmargitfalva,73
Szentmártonkáta,4830
Szentpéterfa,994
Szentpéterfölde,119
Szentpéterszeg,1111
Szentpéterúr,994
Szenyér,315
Szepetnek,1562
Szerecseny,784
Szeremle,1414
Szerencs,9013
Szerep,1596
Szergény,331
Szigetbecse,1260
Szigetcsép,2313
Szigethalom,16964
Szigetmonostor,2292
Szigetszentmiklós,35656
Szigetszentmárton,2109
Szigetvár,10656
Szigetújfalu,1935
Szigliget,810
Szihalom,1899
Szijártóháza,28
Szikszó,5410
Szil,1319
Szilaspogony,298
Szilsárkány,652
Szilvágy,187
Szilvás,156
Szilvásszentmárton,212
Szilvásvárad,1621
Szilágy,246
Szin,823
Szinpetri,236
Szirmabesenyő,4181
Szirák,1226
Szob,2730
Szokolya,1793
Szolnok,72786
Szombathely,77866
Szomolya,1628
Szomor,1051
Szomód,2004
Szorgalmatos,1091
Szorosad,102
Szuha,561
Szuhafő,158
Szuhakálló,935
Szuhogy,1151
Szulimán,223
Szulok,690
Szurdokpüspöki,1906
Szágy,142
Szákszend,1447
Szálka,576
Szántód,561
Szápár,481
Szár,1635
Szárazd,223
Szárföld,878
Szárliget,2350
Szárász,34
Szászberek,1017
Szászfa,106
Szászvár,2328
Szátok,595
Százhalombatta,18617
Szécsisziget,202
Szécsénke,195
Szécsény,5937
Szécsényfelfalu,390
Székely,1044
Székelyszabar,556
Székesfehérvár,98673
Székkutas,2071
Szólád,485
Szögliget,591
Szörény,74
Szúcs,424
Szügy,1349
Szőc,433
Szőce,314
Sződ,3553
Sződliget,4436
Szőke,128
Szőkedencs,253
Szőkéd,341
Szőlősardó,108
Szőlősgyörök,1241
Szűcsi,1569
Szűr,253
Ságvár,1807
Ságújfalu,1023
Sály,1752
Sámod,173
Sámsonháza,265
Sándorfalva,7756
Sántos,536
Sáp,972
Sárazsadány,240
Sárbogárd,12138
Sáregres,735
Sárfimizdó,78
Sárhida,778
Sárisáp,2674
Sárkeresztes,1525
Sárkeresztúr,2555
Sárkeszi,589
Sármellék,1828
Sárok,122
Sárosd,3199
Sárospatak,12256
Sárpilis,677
Sárrétudvari,2963
Sárszentlőrinc,1060
Sárszentmihály,2973
Sárszentágota,1358
Sárvár,14716
Sáránd,2225
Sásd,3094
Sáska,280
Sáta,1133
Sátoraljaújhely,14956
Sátorhely,607
Sávoly,521
Sé,1341
Sénye,31
Sényő,1381
Sérsekszőlős,145
Sóly,460
Sóshartyán,975
Sóskút,3138
Sóstófalva,234
Sósvertike,154
Sótony,629
Söjtör,1450
Söpte,740
Söréd,499
Súr,1182
Sükösd,3627
Sülysáp,8212
Sümeg,6189
Sümegcsehi,621
Sümegprága,589
Süttő,2023
Tab,4364
Tabajd,924
Tabdi,1043
Tagyon,88
Tahitótfalu,5486
Taksony,6141
Taktabáj,615
Taktaharkány,3594
Taktakenéz,1271
Taktaszada,1939
Takácsi,863
Taliándörögd,769
Tamási,8179
Tanakajd,720
Tapolca,15582
Tapsony,736
Tar,1839
Tarany,1180
Tarcal,2866
Tard,1206
Tardona,1043
Tardos,1617
Tarhos,773
Tarján,2565
Tarjánpuszta,398
Tarnabod,629
Tarnalelesz,1785
Tarnaméra,1659
Tarnaszentmiklós,876
Tarnaszentmária,219
Tarnazsadány,1209
Tarnaörs,1822
Tarpa,2322
Tarrós,126
Tass,2749
Taszár,1915
Tata,23613
Tatabánya,66791
Tataháza,1210
Tatárszentgyörgy,1834
Tekenye,402
Teklafalu,274
Telekes,516
Telekgerendás,1418
Teleki,209
Telki,3861
Telkibánya,549
Tengelic,2207
Tengeri,52
Tengőd,428
Tenk,1194
Terem,647
Tereske,665
Teresztenye,39
Terpes,212
Terény,367
Teskánd,1135
Tetétlen,1416
Tevel,1351
Tibolddaróc,1362
Tiborszállás,1023
Tihany,1369
Tikos,126
Tilaj,179
Timár,1293
Tinnye,1653
Tiszaadony,655
Tiszaalpár,4897
Tiszabecs,1292
Tiszabercel,1819
Tiszabezdéd,1889
Tiszabura,2972
Tiszabábolna,343
Tiszabő,2094
Tiszacsege,4713
Tiszacsermely,548
Tiszacsécse,245
Tiszadada,2247
Tiszaderzs,1051
Tiszadob,2881
Tiszadorogma,354
Tiszaeszlár,2575
Tiszaföldvár,10878
Tiszafüred,11260
Tiszagyenda,969
Tiszagyulaháza,724
Tiszaigar,826
Tiszainoka,398
Tiszajenő,1576
Tiszakanyár,1576
Tiszakarád,2432
Tiszakerecseny,990
Tiszakeszi,2609
Tiszakécske,11553
Tiszakóród,771
Tiszakürt,1416
Tiszaladány,643
Tiszalök,5395
Tiszalúc,5064
Tiszamogyorós,715
Tiszanagyfalu,1804
Tiszanána,2474
Tiszapalkonya,1437
Tiszapüspöki,2075
Tiszaroff,1531
Tiszarád,558
Tiszasas,1023
Tiszaszalka,870
Tiszaszentimre,2095
Tiszaszentmárton,1130
Tiszasziget,1714
Tiszaszőlős,1616
Tiszasüly,1493
Tiszatardos,224
Tiszatarján,1437
Tiszatelek,1400
Tiszatenyő,1649
Tiszaug,889
Tiszavalk,304
Tiszavasvári,12840
Tiszavid,550
Tiszavárkony,1518
Tiszaörs,1379
Tiszaújváros,16168
Tisztaberek,683
Tivadar,174
Tokaj,4419
Tokod,4036
Tokodaltáró,2883
Tokorcs,351
Tolcsva,1818
Told,306
Tolmács,744
Tolna,11147
Tolnanémedi,1040
Tomajmonostora,729
Tomor,234
Tompa,4426
Tompaládony,296
Tordas,2083
Tormafölde,337
Tormás,285
Tormásliget,302
Tornabarakony,22
Tornakápolna,12
Tornanádaska,758
Tornaszentandrás,175
Tornaszentjakab,213
Tornyiszentmiklós,569
Tornyosnémeti,393
Tornyospálca,2770
Torony,1920
Torvaj,235
Trizs,218
Tunyogmatolcs,2430
Tura,7694
Tuzsér,3444
Tyukod,2025
Táborfalva,3249
Tác,1676
Tákos,354
Tállya,1892
Táp,722
Tápióbicske,3353
Tápiógyörgye,3384
Tápiószecső,6087
Tápiószele,5911
Tápiószentmárton,5194
Tápiószőlős,2854
Tápióság,2542
Táplánszentkereszt,2539
Tápszentmiklós,961
Tárkány,1444
Tárnok,8999
Tárnokréti,175
Táska,391
Tát,5280
Tázlár,1773
Téglás,6406
Tékes,240
Tényő,1578
Tépe,1104
Tés,766
Tésa,82
Tésenfa,185
Téseny,305
Tét,4020
Tóalmás,3212
Tófalu,576
Tófej,704
Tófű,116
Tószeg,4320
Tótkomlós,5995
Tótszentgyörgy,144
Tótszentmárton,834
Tótszerdahely,1081
Tótvázsony,1329
Tótújfalu,196
Tök,1289
Tököl,10050
Töltéstava,2286
Tömörd,287
Tömörkény,1712
Törtel,4342
Törökbálint,13207
Törökkoppány,432
Törökszentmiklós,20626
Töttös,570
Túristvándi,788
Túrkeve,8678
Túrony,268
Túrricse,695
Türje,1546
Tüskevár,574
Udvar,113
Udvari,328
Ugod,1389
Ukk,325
Und,335
Uppony,263
Ura,610
Uraiújfalu,849
Uszka,454
Uszód,1001
Uzsa,303
Vadna,623
Vadosfa,76
Vaja,3515
Vajdácska,1316
Vajszló,1774
Vajta,966
Valkonya,58
Valkó,2390
Vanyarc,1212
Vanyola,522
Varbó,1069
Varbóc,55
Varga,87
Varsád,359
Varsány,1603
Varászló,155
Vasad,1887
Vasalja,317
Vasasszonyfa,386
Vasboldogasszony,605
Vasegerszeg,392
Vashosszúfalu,343
Vaskeresztes,373
Vaskút,3327
Vasmegyer,1690
Vaspör,342
Vassurány,807
Vasszentmihály,342
Vasszilvágy,362
Vasszécseny,1348
Vasvár,4266
Vaszar,1475
Vatta,921
Vecsés,20463
Vejti,174
Vekerd,135
Velem,337
Velemér,79
Velence,5552
Velény,128
Vereb,762
Veresegyház,17025
Verpelét,3780
Verseg,1344
Versend,910
Verőce,3676
Veszkény,931
Veszprém,60761
Veszprémfajsz,258
Veszprémgalsa,275
Veszprémvarsány,1057
Vezseny,647
Vid,129
Vigántpetend,180
Villány,2539
Villánykövesd,268
Vilmány,1460
Vilonya,615
Vilyvitány,236
Vindornyafok,123
Vindornyalak,77
Vindornyaszőlős,321
Vinár,233
Visegrád,1832
Visnye,242
Visonta,1118
Viss,678
Visz,202
Viszló,73
Visznek,1113
Viszák,240
Vitnyéd,1300
Vizslás,1316
Vizsoly,830
Vokány,854
Vonyarcvashegy,2172
Vác,33169
Vácduka,1427
Vácegres,870
Váchartyán,1734
Váckisújfalu,432
Vácrátót,1871
Vácszentlászló,2035
Vág,440
Vágáshuta,78
Vál,2385
Vállaj,1120
Vállus,127
Vámosatya,556
Vámoscsalád,281
Vámosgyörk,1909
Vámosmikola,1650
Vámosoroszi,517
Vámospércs,5362
Vámosszabadi,1659
Vámosújfalu,743
Váncsod,1223
Várad,114
Váralja,862
Váraszó,469
Várbalog,362
Várda,466
Várdomb,1100
Várfölde,175
Várgesztes,538
Várkesző,149
Várong,156
Városföld,2127
Városlőd,1300
Várpalota,19918
Várvölgy,1043
Vászoly,235
Vásárosbéc,181
Vásárosdombó,1123
Vásárosfalu,146
Vásárosmiske,355
Vásárosnamény,8693
Vát,659
