settlement,population_2015_01_01
Budapest 6. kerület,38757
Budapest 7. kerület,54129
Budapest 8. kerület,76957
Budapest 9. kerület,59121
Budaörs,28045
Bugac,2690
Bugacpusztaháza,255
Bugyi,5127
Buj,2287
Buják,2183
Buzsák,1347
Bábolna,3789
Bábonymegyer,790
Bácsalmás,6586
Bácsbokod,2567
Bácsborsód,1124
Bácsszentgyörgy,155
Bácsszőlős,360
Bágyogszovát,1293
Bálványos,541
Bánd,648
Bánfa,168
Bánhorváti,1373
Bánk,659
Bánokszentgyörgy,627
Bánréve,1331
Bár,522
Bárdudvarnok,1098
Bárna,1024
Bársonyos,751
Báránd,2631
Báta,1683
Bátaapáti,423
Bátaszék,6217
Bátmonostor,1503
Bátonyterenye,12443
Bátor,343
Bátorliget,669
Bátya,2016
Bázakerettye,809
Béb,229
Békás,204
Békés,19433
Békéscsaba,60334
Békésszentandrás,3608
Békéssámson,2381
Bélapátfalva,3041
Bélavár,342
Bélmegyer,968
Bénye,1220
Bér,323
Bérbaltavár,531
Bócsa,1823
Bódvalenke,211
Bódvarákó,80
Bódvaszilas,1080
Bókaháza,263
Bóly,3887
Bózsva,171
Böde,294
Bödeháza,38
Bögöt,384
Bögöte,280
Böhönye,2261
Bököny,3118
Bölcske,2754
Börcs,1283
Börzönce,53
Búcsúszentlászló,795
Bük,3544
Bükkaranyos,1478
Bükkmogyorósd,128
Bükkszenterzsébet,1067
Bükkszentkereszt,1206
Bükkszentmárton,295
Bükkszék,692
Bükkzsérc,957
Bükkábrány,1697
Bükkösd,1098
Bürüs,71
Büssü,405
Büttös,157
Bő,728
Bőcs,2710
Bőny,2151
Bőszénfa,522
Bősárkány,2046
Cakóháza,55
Cece,2589
Cegléd,35885
Ceglédbercel,4265
Celldömölk,10927
Cered,1105
Chernelházadamonya,192
Cibakháza,4117
Cigánd,3044
Cikó,870
Cirák,582
Csabacsűd,1764
Csabaszabadi,281
Csabdi,1183
Csabrendek,3048
Csaholc,559
Csajág,829
Csanytelek,2628
Csanádalberti,423
Csanádapáca,2527
Csanádpalota,2827
Csapi,159
Csapod,588
Csarnóta,163
Csaroda,578
Csataszög,294
Csatka,220
Csatár,558
Csebény,98
Csegöld,671
Csehbánya,288
Csehi,238
Csehimindszent,360
Csempeszkopács,283
Csemő,4171
Csengele,2006
Csenger,4870
Csengersima,775
Csengerújfalu,807
Csengőd,2010
Csenyéte,442
Csepreg,3241
Cserdi,391
Cserháthaláp,339
Cserhátsurány,858
Cserhátszentiván,118
Cserkeszőlő,2218
Cserkút,586
Csernely,754
Cserszegtomaj,2929
Csertalakos,17
Csertő,363
Cserénfa,221
Cserépfalu,1017
Cserépváralja,382
Csesznek,547
Csesztreg,849
Csesztve,328
Csetény,1877
Csibrák,296
Csikvánd,462
Csikéria,846
Csikóstőttős,828
Csincse,543
Csipkerek,326
Csitár,415
Csobaj,694
Csobád,667
Csobánka,3189
Csokonyavisonta,1561
Csokvaomány,895
Csolnok,3111
Csoma,424
Csombárd,265
Csomád,1592
Csongrád,16564
Csonkahegyhát,322
Csonkamindszent,157
Csopak,1759
Csorna,10400
Csorvás,4871
Csurgó,5053
Csurgónagymarton,154
Csáfordjánosfa,199
Csákberény,1165
Csákvár,5225
Csákány,229
Csákánydoroszló,1757
Csánig,340
Csány,2118
Csányoszró,656
Csárdaszállás,372
Császló,362
Császár,1878
Császártöltés,2283
Csátalja,1437
Csávoly,1832
Csécse,909
Csém,388
Csénye,712
Csép,353
Csépa,1642
Csér,27
Csévharaszt,1869
Csókakő,1356
Csólyospálos,1613
Csór,1785
Csót,987
Csöde,82
Csögle,587
Csökmő,1912
Csököly,1068
Csömend,307
Csömödér,633
Csömör,9253
Csönge,374
Csörnyeföld,393
Csörög,1925
Csörötnek,899
Csősz,1008
Csővár,620
Cák,259
Cégénydányád,641
Cún,230
Dabas,16623
Dabronc,400
Dabrony,350
Dad,977
Dalmand,1240
Damak,246
Daraboshegy,91
Darnó,172
Darnózseli,1524
Daruszentmiklós,1274
Darvas,550
Darány,915
Debercsény,72
Debrecen,203506
Debréte,22
Decs,3802
Dejtár,1377
Demecser,4205
Demjén,602
Dencsháza,564
Derecske,8734
Derekegyház,1584
Deszk,3461
Detek,258
Detk,1165
Devecser,4330
Dinnyeberki,87
Diósberény,335
Diósd,9628
Diósjenő,2768
Dióskál,470
Diósviszló,680
Doba,448
Doboz,4084
Dobri,136
Dobronhegy,146
Domaháza,828
Domaszék,4919
Dombegyház,2039
Dombiratos,577
Dombrád,4015
Dombóvár,18688
Domony,2159
Domoszló,1955
Dormánd,1028
Dorog,11883
Dorogháza,1053
Dozmat,231
Drágszél,314
Drávacsehi,181
Drávacsepely,197
Drávafok,510
Drávagárdony,156
Drávaiványi,215
Drávakeresztúr,117
Drávapalkonya,267
Drávapiski,79
Drávaszabolcs,687
Drávaszerdahely,189
Drávasztára,391
Drávatamási,410
Drégelypalánk,1496
Dubicsány,233
Dudar,1649
Duka,210
Dunaalmás,1547
Dunabogdány,3052
Dunaegyháza,1389
Dunafalva,905
Dunaföldvár,8593
Dunaharaszti,20767
Dunakeszi,41846
Dunakiliti,1867
Dunapataj,3087
Dunaremete,247
Dunaszeg,2000
Dunaszekcső,1911
Dunaszentbenedek,808
Dunaszentgyörgy,2562
Dunaszentmiklós,446
Dunaszentpál,736
Dunasziget,1603
Dunatetétlen,528
Dunavarsány,7517
Dunavecse,3856
Dunaújváros,46052
Dusnok,2823
Dág,946
Dáka,639
Dámóc,371
Dánszentmiklós,2943
Dány,4451
Dávod,1965
Dédestapolcsány,1526
Dég,2184
Délegyháza,3734
Dénesfa,362
Dévaványa,7772
Dóc,707
Döbröce,66
Döbrököz,1946
Döbrönte,237
Döbörhegy,111
Döge,2288
Dömsöd,5676
Dömös,1116
Dör,675
Dörgicse,258
Döröske,80
Dötk,36
Dövény,301
Dúzs,252
Ebergőc,163
Ebes,4388
Ecseg,1174
Ecsegfalva,1255
Ecseny,219
Ecser,3621
Ecséd,3094
Edde,197
Edelény,9739
Edve,116
Eger,54609
Egeralja,227
Egeraracsa,307
Egerbakta,1420
Egerbocs,562
Egercsehi,1320
Egerfarmos,680
Egerlövő,512
Egerszalók,1981
Egerszólát,1000
Egervár,1012
Egervölgy,329
Egerág,968
Egyed,504
Egyek,5071
Egyházasdengeleg,464
Egyházasfalu,887
Egyházasgerge,730
Egyházasharaszti,282
Egyházashetye,328
Egyházashollós,556
Egyházaskesző,517
Egyházaskozár,769
Egyházasrádóc,1291
Elek,4787
Ellend,185
Előszállás,2276
Emőd,4785
Encs,6402
Encsencs,1958
Endrefalva,1212
Endrőc,362
Enese,1734
Enying,6777
Eperjes,548
Eperjeske,1260
Eplény,491
Epöl,632
Ercsi,8050
Erdőbénye,1081
Erdőhorváti,618
Erdőkertes,7543
Erdőkövesd,656
Erdőkürt,477
Erdősmecske,362
Erdősmárok,86
Erdőtarcsa,508
Erdőtelek,3212
Erk,935
Erzsébet,264
Eszteregnye,669
Esztergom,28102
Esztergályhorváti,429
Esztár,1335
Ete,613
Etes,1374
Etyek,4112
Fadd,4083
Fajsz,1687
Fancsal,300
Farkasgyepű,355
Farkaslyuk,1940
Farmos,3427
Farád,1895
Fazekasboda,200
Fedémes,317
Fegyvernek,6447
Fehérgyarmat,8089
Fehértó,481
Fehérvárcsurgó,1900
Feked,203
Feketeerdő,558
Felcsút,1812
Feldebrő,974
Felgyő,1193
Felpéc,852
Felsőberecki,259
Felsőcsatár,509
Felsődobsza,937
Felsőegerszeg,128
Felsőgagy,216
Felsőjánosfa,175
Felsőkelecsény,362
Felsőlajos,864
Felsőmarác,227
Felsőmocsolád,391
Felsőnyárád,940
Felsőnyék,978
Felsőnána,588
Felsőpakony,3359
Felsőpetény,567
Felsőpáhok,647
Felsőrajk,739
Felsőregmec,319
Felsőszenterzsébet,16
Felsőszentiván,1815
Felsőszentmárton,914
Felsőszölnök,584
Felsőtelekes,711
Felsőtold,125
Felsőtárkány,3506
Felsővadász,520
Felsőzsolca,6521
Felsőörs,1631
Fenyőfő,109
Ferencszállás,605
Fertőboz,310
Fertőd,3360
Fertőendréd,638
Fertőhomok,696
Fertőrákos,2260
Fertőszentmiklós,3854
Fertőszéplak,1312
Fiad,127
Filkeháza,99
Fityeház,640
Foktő,1590
Folyás,297
Fony,320
Fonyód,4757
Fonó,256
Forráskút,2265
Forró,2489
Fulókércs,374
Furta,1170
Fábiánháza,1747
Fábiánsebestyén,1970
Fácánkert,612
Fáj,426
Fényeslitke,2407
Fót,19121
Földes,3980
Földeák,2993
Füle,839
Fülesd,449
Fülpösdaróc,320
Fülöp,1748
Fülöpháza,841
Fülöpjakab,1132
Fülöpszállás,2159
Fürged,706
Füzesabony,7637
Füzesgyarmat,5774
Füzér,415
Füzérkajata,120
Füzérkomlós,300
Füzérradvány,284
Főnyed,79
Fűzvölgy,122
Gacsály,918
Gadna,277
Gadács,85
Gadány,311
Gagyapáti,10
Gagybátor,193
Gagyvendégi,215
Galambok,1263
Galgaguta,608
Galgagyörk,1031
Galgahévíz,2456
Galgamácsa,1729
Galvács,96
Gamás,748
Ganna,235
Gara,2323
Garabonc,694
Garadna,385
Garbolc,143
Garáb,48
Garé,288
Gasztony,422
Gecse,384
Gelej,580
Gellénháza,1558
Gelse,1098
Gelsesziget,250
Gelénes,574
Gemzse,930
Gencsapáti,2711
Gerde,521
Gerendás,1289
Geresdlak,765
Gerjen,1200
Gersekarát,639
Gerényes,256
Geszt,821
Gesztely,2790
Geszteréd,1718
Gibárt,318
Gic,353
Gige,367
Gilvánfa,403
Girincs,886
Golop,544
Gomba,2921
Gombosszeg,37
Gordisa,274
Gosztola,61
Grábóc,177
Gulács,899
Gutorfölde,985
Gyalóka,68
Gyanógeregye,146
Gyarmat,1290
Gyenesdiás,3650
Gyepükaján,313
Gyermely,1464
Gyomaendrőd,13295
Gyugy,292
Gyula,30658
Gyulaháza,1938
Gyulaj,1019
Gyulakeszi,695
Gyál,22920
Gyékényes,1003
Gyód,640
Gyóró,383
Gyömrő,16937
Gyömöre,1206
Gyöngyfa,134
Gyöngyös,30190
Gyöngyösfalu,1134
Gyöngyöshalász,2503
Gyöngyösmellék,296
Gyöngyösoroszi,1545
Gyöngyöspata,2476
Gyöngyössolymos,2833
Gyöngyöstarján,2372
Gyönk,2048
Györe,638
Györgytarló,540
Györköny,951
Gyúró,1244
Gyügye,253
Gyüre,1244
Győr,129372
Győrasszonyfa,509
Győrladamér,1664
Győrszemere,3279
Győrság,1465
Győrsövényház,772
Győrtelek,1599
Győrvár,585
Győrzámoly,2676
Győröcske,135
Győrújbarát,6401
Győrújfalu,1758
Gyűrűs,98
Gáborján,863
Gáborjánháza,69
Gádoros,3481
Gálosfa,218
Gánt,862
Gárdony,10206
Gátér,919
Gávavencsellő,3481
Géberjén,488
Géderlak,997
Gégény,1935
Gérce,1124
Gétye,112
Gógánfa,815
Gór,295
Göd,18194
Gödre,859
Gödöllő,32720
Gölle,915
Gömörszőlős,89
Gönc,2051
Göncruszka,643
Gönyű,3049
Görbeháza,2366
Görcsöny,1539
Görcsönydoboka,370
Görgeteg,1093
Gősfa,307
Hagyárosbörönd,301
Hahót,1019
Hajdúbagos,1989
Hajdúböszörmény,31224
Hajdúdorog,8677
Hajdúhadház,12724
Hajdúnánás,17172
Hajdúszoboszló,23882
Hajdúszovát,3045
Hajdúsámson,12961
Hajmás,220
Hajmáskér,2854
Hajós,3053
Halastó,80
Halimba,1117
Halmaj,1799
Halmajugra,1287
Halogy,255
Halászi,3118
Halásztelek,9506
Hangony,1602
Hangács,581
Hantos,977
Harasztifalu,157
Harc,879
Harka,2003
Harkakötöny,843
Harkány,4219
Harsány,2016
Harta,3328
Hatvan,20366
Hedrehely,389
Hegyesd,146
Hegyeshalom,3387
Hegyfalu,794
Hegyháthodász,166
Hegyhátmaróc,134
Hegyhátszentjakab,265
Hegyhátszentmárton,57
Hegyhátszentpéter,113
Hegyhátsál,154
Hegykő,1588
Hegymagas,282
Hegymeg,114
Hegyszentmárton,421
Hejce,232
Hejőbába,1899
Hejőkeresztúr,1025
Hejőkürt,283
Hejőpapi,1152
Hejőszalonta,830
Helesfa,483
Helvécia,4522
Hencida,1191
Hencse,337
Herceghalom,2333
Hercegkút,655
Hercegszántó,2056
Herencsény,586
Herend,3384
Heresznye,245
Hermánszeg,246
Hernyék,90
Hernád,3981
Hernádbűd,133
Hernádcéce,212
Hernádkak,1664
Hernádkércs,302
Hernádnémeti,3421
Hernádpetri,232
Hernádszentandrás,425
Hernádszurdok,159
Hernádvécse,1089
Heréd,1877
Hetefejércse,295
Hetes,1182
Hetvehely,500
Hetyefő,70
Heves,10695
Hevesaranyos,600
Hevesvezekény,632
Hidas,2046
Hidasnémeti,1165
Hidegkút,410
Hidegség,384
Hidvégardó,544
Himesháza,1036
Himod,612
Hirics,237
Hobol,992
Hodász,3380
Hollád,222
Hollóháza,820
Hollókő,329
Homokbödöge,703
Homokkomárom,161
Homokmégy,1330
Homokszentgyörgy,1108
Homorúd,599
Homrogd,891
Hont,468
Horpács,166
Hort,3634
Hortobágy,1470
Horváthertelend,67
Horvátlövő,190
Horvátzsidány,808
Hosszúhetény,3359
Hosszúpereszteg,627
Hosszúpályi,5662
Hosszúvíz,48
Hosszúvölgy,158
Hosztót,56
Hottó,316
Hugyag,840
Hunya,649
Hunyadfalva,173
Husztót,57
Hács,386
Háromfa,767
Háromhuta,109
Hárskút,660
Hásságy,265
Hédervár,1237
Héhalom,987
Héreg,995
Hét,476
Hévíz,4634
Hévízgyörk,2994
Hódmezővásárhely,44795
Hövej,288
